[SPECTANO CSV]
Version           ;Decimal                                         ;Field separator
1.2               ;,                                               ;";"

[GENERAL SETTINGS]
Tester name       ;Comment                                         ;Test cell type
André             ;                                                ;Disk electrodes

[MEASUREMENTS]
ID                ;Name                                            ;Temperature [°C]          ;Humidity [%]       ;Material type        ;Serial number                ;PDC output voltage (DC) [V]     ;FDS output voltage (AC) [V];c0                  ;Sample thickness [m];Measurement started
1                 ;Reference 1                                     ;                          ;                   ;                     ;                             ;                                ;200                        ;                    ;                    ;
2                 ;Reference 2                                     ;                          ;                   ;                     ;                             ;                                ;200                        ;                    ;                    ;
3                 ;KA5HPP Air (130µm_depth)                        ;26,3                      ;35                 ;Kapton KA 5HPP       ;KA5HPP                       ;                                ;200                        ;1,37771104419882E-10;0,00013             ;2022-06-21 08:10:05Z
4                 ;SLA.TRANS.01.3 - Air_oHE_oT (100µm_depth) - Copy;22,8                      ;44,8               ;SLA transparent 100µm;SLA.TRANS.04                 ;                                ;200                        ;4,7256579352466E-17 ;379                 ;

[FDS RESULTS]
ID                ;Frequency [Hz]                                  ;Tanδ                      ;εr'                ;εr''                 ;|Z| [Ω]                      ;Phase of Z [°]                  ;|Y| [S]                    ;Phase of Y [°]      ;Cp [F]              ;Rp [Ω]              ;c' [F]              ;c'' [F]              ;R [Ω]           ;X [Ω]
3                 ;9,99999974737875E-05                            ;-0,0105496801128683       ;2,12756578107028   ;0,0224451384093762   ;5429437520596,22             ;-90,6044297228594               ;1,84181141454628E-13       ;90,6044297228594    ;2,93117087384E-10   ;-514682871021723    ;2,93117087384E-10   ;3,09229150751687E-12 ;-57275641856    ;-5429135409152
3                 ;0,000500000023748726                            ;0,00739184876309322       ;2,09884352776952   ;-0,0155143339346694  ;1100778757040,57             ;-89,5764859764847               ;9,08447763552854E-13       ;89,5764859764847    ;2,89159990825328E-10;148921990272165     ;2,89159990825328E-10;-2,13742692051825E-12;8136567808      ;-1100748685312
3                 ;0,00100000004749745                             ;0,00545930704044302       ;2,09246580224992   ;-0,0114234132861092  ;552073791500,956             ;-89,687207854981                ;1,81135206089251E-12       ;89,687207854981     ;2,88281324536805E-10;101126757363643     ;2,88281324536805E-10;-1,57381626467202E-12;3013895424      ;-552065564672
3                 ;0,0020000000949949                              ;0,00383682734797084       ;2,08952970144553   ;-0,00801716470290356 ;276426853339,127             ;-89,7801670649748               ;3,61759354389921E-12       ;89,7801670649748    ;2,87876814686296E-10;72046214993599,8    ;2,87876814686296E-10;-1,10453363543512E-12;1060594304      ;-276424818688
3                 ;0,00499999988824129                             ;0,00232399109964153       ;2,08756583172235   ;-0,00485148441283851 ;110675283833,776             ;-89,8668453580841               ;9,03544102495284E-12       ;89,8668453580841    ;2,87606250185598E-10;47623066510637,9    ;2,87606250185598E-10;-6,68394365632603E-13;257207680       ;-110674984960
3                 ;0,00999999977648258                             ;0,00170605783815469       ;2,08658165114209   ;-0,00355982898088071 ;55363812027,7029             ;-89,9022501811064               ;1,80623400624874E-11       ;89,9022501811064    ;2,87470658540106E-10;32451357369809,9    ;2,87470658540106E-10;-4,90441570241837E-13;94453728        ;-55363731456
3                 ;0,0199999995529652                              ;0,0015280621841758        ;2,08602047014818   ;-0,00318756899585006 ;27689360966,9129             ;-89,9124485541566               ;3,61149540863344E-11       ;89,9124485541566    ;2,87393344014795E-10;18120593245881,9    ;2,87393344014795E-10;-4,39154900972836E-13;42311016        ;-27689328640
3                 ;0,0500000007450581                              ;0,00144582786027007       ;2,08499518959513   ;-0,00301454413364573 ;11081191742,1443             ;-89,9171602234273               ;9,02430012285386E-11       ;89,9171602234273    ;2,87252089980662E-10;7664261859105,95    ;2,87252089980662E-10;-4,15317074614848E-13;16021479        ;-11081180160
3                 ;0,0799999982118607                              ;0,00145613405171984       ;2,08460935396034   ;-0,00303547066483534 ;6927026863,76721             ;-89,9165697233976               ;1,44362079094949E-10       ;89,9165697233976    ;2,87198932979132E-10;4757140456512,7     ;2,87198932979132E-10;-4,18200145928518E-13;10086669        ;-6927019520
3                 ;0,100000001490116                               ;0,00147709066889819       ;2,08459277721719   ;-0,00307913253968008 ;5541665181,38391             ;-89,9153690002632               ;1,80451176184244E-10       ;89,9153690002632    ;2,87196649182921E-10;3751747501667       ;2,87196649182921E-10;-4,24215490646919E-13;8185533         ;-5541659136
3                 ;0,200000002980232                               ;0,00155166451023083       ;2,08385626503549   ;-0,00323344581087774 ;2771811592,78774             ;-89,9110962436936               ;3,60774881886634E-10       ;89,9110962436936    ;2,87095179086229E-10;1786349375978,93    ;2,87095179086229E-10;-4,45475400446466E-13;4300916,5       ;-2771808256
3                 ;0,5                                             ;0,00166408713371065       ;2,0820997995354    ;-0,00346479548750838 ;1109659776,42396             ;-89,9046549185057               ;9,01177118650407E-10       ;89,9046549185057    ;2,86853188894407E-10;666828851909,746    ;2,86853188894407E-10;-4,77348700903052E-13;1846568         ;-1109658240
3                 ;0,800000011920929                               ;0,00168920476172197       ;2,08069049808465   ;-0,00351471229703426 ;694007070,142184             ;-89,903215788475                ;1,44090751092078E-09       ;89,903215788475     ;2,86659027877076E-10;410848984097,292    ;2,86659027877076E-10;-4,84225794880549E-13;1172318,375     ;-694006080
3                 ;1                                               ;0,00169923913420378       ;2,08021423133898   ;-0,00353478142941883 ;555332769,73597              ;-89,9026408629319               ;1,80072211563428E-09       ;89,9026408629319    ;2,86593412081527E-10;326813077862,235    ;2,86593412081527E-10;-4,86990741413921E-13;943641,8125     ;-555331968
3                 ;2                                               ;0,00170541375727436       ;2,07869416683492   ;-0,00354503362928624 ;277869428,081854             ;-89,9022870841152               ;3,59881260382996E-09       ;89,9022870841152    ;2,86383991116013E-10;162933968943,932    ;2,86383991116013E-10;-4,88403198312387E-13;473881,65625    ;-277869024
3                 ;5                                               ;0,00168314228741555       ;2,07692693766241   ;-0,00349576355665208 ;111242349,572671             ;-89,9035631416785               ;8,98938222575684E-09       ;89,9035631416785    ;2,86140518001152E-10;66092158682,7798    ;2,86140518001152E-10;-4,81615205990731E-13;187236,4375     ;-111242192
3                 ;10                                              ;0,00161205149280292       ;2,07547350193904   ;-0,00334577015707373 ;55660132,3221307             ;-89,9076363331134               ;1,79661807882982E-08       ;89,9076363331134    ;2,85940276556341E-10;34527560002,1792    ;2,85940276556341E-10;-4,60950449675129E-13;89726,8828125   ;-55660060
3                 ;20                                              ;0,00148161911164819       ;2,07399683252694   ;-0,00307287334456972 ;27849886,5679182             ;-89,9151095401736               ;3,5906788976008E-08        ;89,9151095401736    ;2,85736834180572E-10;18796947823,445     ;2,85736834180573E-10;-4,23353154423786E-13;41262,87890625  ;-27849856
3                 ;40                                              ;0,00133034333656158       ;2,07290863196764   ;-0,00275768018583913 ;13932256,3287306             ;-89,9237769864785               ;7,17758829872975E-08       ;89,9237769864785    ;2,85586911587688E-10;10472686467,1503    ;2,85586911587688E-10;-3,79928644839881E-13;18534,66796875  ;-13932244
3                 ;50                                              ;0,00128365090244674       ;2,07255840678734   ;-0,00266044146924615 ;11147689,1843448             ;-89,926452261318                ;8,97046897759174E-08       ;89,926452261318     ;2,85538660677802E-10;8684369206,18274    ;2,85538660677802E-10;-3,66531959462494E-13;14309,7294921875;-11147680
3                 ;70                                              ;0,00122008737456682       ;2,07205886688646   ;-0,0025280928628474  ;7964555,42806456             ;-89,9300941774877               ;1,25556286101835E-07       ;89,9300941774877    ;2,85469838513956E-10;6527861464,808      ;2,85469838513956E-10;-3,48298145790507E-13;9717,4462890625 ;-7964549,5
3                 ;90                                              ;0,00117946244567192       ;2,07171062426164   ;-0,00244350487961614 ;6195695,8095098              ;-89,9324218111055               ;1,61402372024962E-07       ;89,9324218111055    ;2,85421860742928E-10;5252986342,85299    ;2,85421860742928E-10;-3,36644365920086E-13;7307,58544921875;-6195691,5
3                 ;110                                             ;0,00114880219799755       ;2,07145400070371   ;-0,00237969090905923 ;5069833,8454444              ;-89,9341785115153               ;1,97245122914348E-07       ;89,9341785115153    ;2,85386505431932E-10;4413150670,9581     ;2,85386505431933E-10;-3,27852644719043E-13;5824,232421875  ;-5069830,5
3                 ;130                                             ;0,00113040113660652       ;2,07124071702674   ;-0,00234133286071273 ;4290301,24108527             ;-89,9352328133023               ;2,33083866098652E-07       ;89,9352328133023    ;2,85357121104202E-10;3795381872,18375    ;2,85357121104202E-10;-3,22568014034954E-13;4849,75830078125;-4290298,5
3                 ;200                                             ;0,00109379763008654       ;2,07068604945792   ;-0,00226491149355033 ;2789442,91863385             ;-89,9373300371473               ;3,58494519934381E-07       ;89,9373300371473    ;2,85280703940659E-10;2550238280,41025    ;2,85280703940659E-10;-3,12039357879712E-13;3051,08422851563;-2789441,25
3                 ;500                                             ;0,00109036210225602       ;2,06944572534997   ;-0,00225644519159733 ;1116445,91366483             ;-89,9375268781576               ;8,95699458218639E-07       ;89,9375268781576    ;2,85109823118469E-10;1023922763,84153    ;2,85109823118469E-10;-3,10872946109296E-13;1217,32958984375;-1116445,25
3                 ;800                                             ;0,00113632021983731       ;2,06895507397667   ;-0,00235099548449469 ;697944,13810055              ;-89,9348936752502               ;1,43277942375373E-06       ;89,9348936752502    ;2,85042225536884E-10;614214705,077867    ;2,85042225536884E-10;-3,23899244384988E-13;793,087524414062;-697943,6875
3                 ;1000                                            ;0,00118769698419396       ;2,06868464248833   ;-0,00245697051113176 ;558428,268865778             ;-89,9319500074629               ;1,79074028976201E-06       ;89,9319500074629    ;2,85004967892066E-10;470177722,233431    ;2,85004967892066E-10;-3,38499540845704E-13;663,243103027344;-558427,875
3                 ;1500                                            ;0,00128904420706376       ;2,06827925666068   ;-0,0026661033943886  ;372358,434361512             ;-89,9261432482371               ;2,68558439320628E-06       ;89,9261432482371    ;2,84949117438874E-10;288864215,581446    ;2,84949117438874E-10;-3,67312009142513E-13;479,986083984375;-372358,125
3                 ;2000                                            ;0,00140658433374511       ;2,06784104235699   ;-0,0029085928148545  ;279327,963821913             ;-89,9194087072966               ;3,58002108459701E-06       ;89,9194087072966    ;2,84888744170282E-10;198586201,653741    ;2,84888744170282E-10;-4,00720044410238E-13;392,89794921875 ;-279327,6875
